word,sentiment
joyful,Positive
happy,Positive
excited,Positive
content,Positive
proud,Positive
optimistic,Positive
inspired,Positive
grateful,Positive
relaxed,Positive
peaceful,Positive
chair,Neutral
table,Neutral
computer,Neutral
book,Neutral
pen,Neutral
paper,Neutral
window,Neutral
door,Neutral
wall,Neutral
floor,Neutral
ceiling,Neutral
calm,Neutral
quiet,Neutral
desk,Neutral
lamp,Neutral
keyboard,Neutral
mouse,Neutral
screen,Neutral
monitor,Neutral
drawer,Neutral
curtain,Neutral
light,Neutral
painting,Neutral
carpet,Neutral
mirror,Neutral
coffee,Neutral
tea,Neutral
cup,Neutral
plate,Neutral
fork,Neutral
spoon,Neutral
knife,Neutral
sink,Neutral
toilet,Neutral
towel,Neutral
joy,Positive
love,Positive
adore,Positive
laugh,Positive
smile,Positive
friend,Positive
family,Positive
sunshine,Positive
rainbow,Positive
hope,Positive
faith,Positive
happiness,Positive
contentment,Positive
success,Positive
achievement,Positive
accomplishment,Positive
triumph,Positive
victory,Positive
brave,Positive
courage,Positive
bold,Positive
fearless,Positive
adventure,Positive
exploration,Positive
discovery,Positive
wonder,Positive
amaze,Positive
astonish,Positive
marvel,Positive
thrill,Positive
excitement,Positive
elation,Positive
delight,Positive
enjoy,Positive
pleasure,Positive
satisfaction,Positive
fulfillment,Positive
gratitude,Positive
thankful,Positive
appreciation,Positive
relief,Positive
comfort,Positive
ease,Positive
tranquility,Positive
serenity,Positive
calmness,Positive
peacefulness,Positive
rest,Positive
repose,Positive
stillness,Positive
silence,Positive
harmony,Positive
unity,Positive
cooperation,Positive
collaboration,Positive
friendship,Positive
companionship,Positive
support,Positive
assistance,Positive
encouragement,Positive
guidance,Positive
advice,Positive
wisdom,Positive
knowledge,Positive
understanding,Positive
insight,Positive
clarity,Positive
awareness,Positive
consciousness,Positive
intelligence,Positive
brilliance,Positive
genius,Positive
ingenuity,Positive
creativity,Positive
innovation,Positive
imagination,Positive
fantasy,Positive
dream,Positive
vision,Positive
ambition,Positive
aspiration,Positive
desire,Positive
passion,Positive
enthusiasm,Positive
excitement,Positive
zeal,Positive
energy,Positive
vitality,Positive
liveliness,Positive
animation,Positive
spirit,Positive
heart,Positive
soul,Positive
love,Positive
adore,Positive
joy,Positive
this,Neutral
is,Neutral
a,Neutral
that,Neutral
the,Neutral
and,Neutral
to,Neutral
in,Neutral
of,Neutral
for,Neutral
with,Neutral
on,Neutral
at,Neutral
by,Neutral
from,Neutral
into,Neutral
out,Neutral
after,Neutral
am,Neutral
be,Neutral
been,Neutral
but,Neutral
can,Neutral
do,Neutral
does,Neutral
did,Neutral
has,Neutral
have,Neutral
he,Neutral
her,Neutral
his,Neutral
how,Neutral
i,Neutral
if,Neutral
it,Neutral
its,Neutral
me,Neutral
my,Neutral
no,Neutral
not,Neutral
now,Neutral
of,Neutral
on,Neutral
or,Neutral
other,Neutral
our,Neutral
out,Neutral
over,Neutral
s,Neutral
she,Neutral
so,Neutral
than,Neutral
the,Neutral
their,Neutral
there,Neutral
they,Neutral
this,Neutral
to,Neutral
up,Neutral
was,Neutral
we,Neutral
were,Neutral
bad,Negative
worse,Negative
terrible,Negative
horrible,Negative
awful,Negative
horrendous,Negative
dreadful,Negative
terribly,Negative
horribly,Negative
awfully,Negative
horrendously,Negative
dreadfully,Negative
terribly,Negative
horribly,Negative
awfully,Negative
horrendously,Negative
dreadfully,Negative
terribly,Negative
horribly,Negative
awfully,Negative
amused,Positive
amazed,Positive
amusing,Positive
amusingly,Positive
movie,Neutral
movies,Neutral
film,Neutral
films,Neutral
actors,Neutral
actor,Neutral
actress,Neutral
actresses,Neutral
actress,Neutral
actresses,Neutral
are,Neutral
as,Neutral
at,Neutral
good,Positive
great,Positive
hate,Negative
horrible,Negative
horribly,Negative
hate,Negative
hates,Negative
